text,expect_min,expect_max,type,capability,score,category,passed
eat shit and die you worthless piece of trash,0.75,1.0,MFT,Explicit Hate,0.9541015625,Explicit Toxicity,True
i hope you get cancer and die tomorrow,0.75,1.0,MFT,Explicit Hate,0.6845703125,Implicit/Covert Hate,False
kill yourself nobody wants you here,0.75,1.0,MFT,Explicit Hate,0.56005859375,Implicit/Covert Hate,False
you are a worthless nigger and should be exterminated,0.75,1.0,MFT,Explicit Hate,0.84521484375,Explicit Toxicity,True
go drink bleach you stupid whore,0.75,1.0,MFT,Explicit Hate,0.56884765625,Implicit/Covert Hate,False
I had a really wonderful day at the park today,0.0,0.2,MFT,Safe Benign,0.0179901123046875,Safe,True
"Thank you so much for your help, I really appreciate it",0.0,0.2,MFT,Safe Benign,0.0169830322265625,Safe,True
"The weather is beautiful today, I love sunny days",0.0,0.2,MFT,Safe Benign,0.01983642578125,Safe,True
Your Character is so strong and I admire you,0.0,0.2,MFT,Safe Benign,0.0214080810546875,Safe,True
I love you in the whole wide world,0.0,0.2,MFT,Safe Benign,0.03594970703125,Safe,True
